Course ID,Course Name,Expected Course Duration
1,Asset Pricing,9
2,Automata,6
3,Big Data,8
4,Bioinformatics Algorithms,12
5,"Synapses, Neurons and Brains",9
6,Compilers,12
7,Computational Methods for Data Analysis,10
8,Cryptography I,6
9,Data Analysis,8
10,Introduction to Data Science,8
11,Design: Creation of Artifacts in Society,8
12,Designing Cities,10
13,Creative Programming for Digital Media & Mobile Apps,6
14,Data Structures and Algorithms,14
15,Digital Signal Processing,9
16,E-learning and Digital Cultures,5
17,Understanding Einstein: The Special Theory of Relativity,8
18,An Introduction to Corporate Finance,6
19,"Networks: Friends, Money, and Bytes",13
20,Game Theory,9
21,Gamification,10
22,Experimental Genome Science,12
23,Human-Computer Interaction,9
24,"History of Rock, Part One",7
25,A Brief History of Humankind,17
26,programming(c++),7
27,programming(java),7
28,The Law of the European Union: An Introduction,5
29,Introduction to Psychology,8
30,Statistics: Making Sense of Data,8
31,Inspiring Leadership through Emotional Intelligence,6
32,Linear and Integer Programming,9
33,The Social Context of Mental Health and Illness,6
34,Machine Learning,10
35,Nanotechnology: The Basics,9
36,Neural Networks for Machine Learning,8
37,Natural Language Processing,10
38,Organizational Analysis,10
39,Probabilistic Graphical Models,11
40,Bioinformatics: Introduction and Methods,6
41,Introduction to Computing,15
42,Pre-Calculus,8
43,Learn to Program: The Fundamentals,7
44,Learn to Program: Crafting Quality Code,5
45,Writing in Sciences,8
46,Social Network Analysis,9
47,Startup Engineering,12
48,Statistics One,12
49,Video Games and Learning,6
50,Web Development,7
